,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
69,69,,,Coding in Chicago | 🎧  LoFi Jazz Hip-Hop [Code - Relax - Study] ,"""한국은 제외 "" 미국 백악관의 초대형 발표에 한국은 웃고 일본은 난리난 현상황 ""왜 한국만 제외인가 대반전에 크게놀란 일본"" ",,,
70,70,,,chill lofi beats to code/relax to ,🇫🇷 각 나라별 “사랑해” 💌 • 시리즈 액괴 • 대규모 시리즈 액괴 • 액괴 시리즈 • 시리즈액괴 • 액괴시리즈 • 배화 ,,,
71,71,,,code-fi / lofi beats to code/relax to ,ㅌ 자중지란의 카오스 상황! ,,,
72,72,,,서울에 리조트가 생기다니✨ '파라스파라 서울(Paraspara Seoul)' 스위트룸&인피니티풀&조식 Full Review! ,아마도 수능 전 마지막 세계일주 주부-유즈노사할린스크 ,,,
73,73,,,LA아줌마 150회 : 미국 로스앤젤레스 한인타운 아파트 투어 The Pearl On Wilshire ,발명가과학자천재작사작곡가가수국왕 남광희여왕 1957년 11월23 일생 01084553359 전국경제인연합회 전경련회관총재 방송회관총재 국가통치권자인국왕남광희여왕억울해 분통터진다 ,,,
74,74,,,[미국 유학] 졸업 후 취업 잘되는 미국 유학 전공과 유학 방법 ,"아내가 바람필 때 나타나는 증거잡기 I 책, 책추천 ",,,
75,75,,,의료용대마로 효과를 볼수있는 질병리스트 [초록연기] Medical conditions you can help with Marijuana ,뷰티유튜버삐삐의 꿀팁메이크업1탄~3탄 모아보기 / 인싸가족 시트콤 ,,,
76,76,,,"[ASMR] 무편집버전ㅣ입소리,탭핑,시각적팅글ㅣ화면에 쿠션 발라주기,마이크 브러슁 ",💁‍♀친절한 왕초보 데일리 메이크업🌟수정화장법 꿀팁 ,,,
77,77,,,"3년 간 매출 0원, 지금은 매년 떡상중 📈 ",절 ,,,
78,78,,,"스트리밍 영상 다운로드 프로그램 끝판왕 , 모든 스트리밍 사이트의 영상을 다운로드 받을 수 있어요!! ",신축년운세 -계일간(6개 일주별) ,,,
79,79,,,파이썬 크롤러 - 서브페이지 링크 수집하기 ,대 ,,,
80,80,,,파이썬 크롤러 - 서브페이지 링크 모두 수집하기 02 ,전판 일꾼 뺏기고 화난상대의 유닛을  또 뺏어봤더니 미친듯이 화난 상대ㅋㅋ ,,,
81,81,,,오징어 게임 | 공식 예고편 | 넷플릭스 ,미국 간호사가 돈가스 처음 먹어본 인상은?! 외국놈들의 그랜드한 한국 일주 시리즈 1편!! ,,,
82,82,,,직접 뽑은 30만원짜리 산삼백숙을 만난 외국놈들?! 외국놈들의 그랜드한 한국 일주 시리즈 5편!! ,"갑오일주(甲午日柱), 사주명리학 일주론 강의 제31강 ",,,
83,83,,,⚡️진절미 본업 최초공개 ,[한국어ASMR] 신인 아이돌 메이크업샵 롤플레이 💄 Make up artist RP (ENG SUB) ,,,
